Parent Class,Class,Equivalent Class,Canonical Class,Canonical Source
Equipment,Dedicated_Outdoor_Air_System_Unit,DOAS,Dedicated_Outdoor_Air_System_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_920_I-P_2020_add1.pdf
Measurable,Discharge_Air,Discharge_Air,Supply_Air,https://terminology.ashrae.org/?entry=supply%20air
Measurable,Discharge_Air,Supply_Air,Supply_Air,https://terminology.ashrae.org/?entry=supply%20air
Point,Discharge_Air_Dewpoint_Sensor,Discharge_Air_Dewpoint_Sensor,,
Point,Discharge_Air_Dewpoint_Sensor,Supply_Air_Dewpoint_Sensor,,
Point,Discharge_Air_Differential_Pressure_Sensor,Discharge_Air_Differential_Pressure_Sensor,,
Point,Discharge_Air_Differential_Pressure_Sensor,Supply_Air_Differential_Pressure_Sensor,,
Point,Discharge_Air_Differential_Pressure_Setpoint,Discharge_Air_Differential_Pressure_Setpoint,,
Point,Discharge_Air_Differential_Pressure_Setpoint,Supply_Air_Differential_Pressure_Setpoint,,
Point,Discharge_Air_Duct_Pressure_Status,Discharge_Air_Duct_Pressure_Status,,
Point,Discharge_Air_Duct_Pressure_Status,Supply_Air_Duct_Pressure_Status,,
Point,Discharge_Air_Flow_Demand_Setpoint,Discharge_Air_Flow_Demand_Setpoint,,
Point,Discharge_Air_Flow_Demand_Setpoint,Supply_Air_Flow_Demand_Setpoint,,
Point,Discharge_Air_Flow_High_Reset_Setpoint,Discharge_Air_Flow_High_Reset_Setpoint,,
Point,Discharge_Air_Flow_High_Reset_Setpoint,Supply_Air_Flow_High_Reset_Setpoint,,
Point,Discharge_Air_Flow_Low_Reset_Setpoint,Discharge_Air_Flow_Low_Reset_Setpoint,,
Point,Discharge_Air_Flow_Low_Reset_Setpoint,Supply_Air_Flow_Low_Reset_Setpoint,,
Point,Discharge_Air_Flow_Reset_Setpoint,Discharge_Air_Flow_Reset_Setpoint,,
Point,Discharge_Air_Flow_Reset_Setpoint,Supply_Air_Flow_Reset_Setpoint,,
Point,Discharge_Air_Flow_Sensor,Discharge_Air_Flow_Sensor,,
Point,Discharge_Air_Flow_Sensor,Supply_Air_Flow_Sensor,,
Point,Discharge_Air_Flow_Setpoint,Discharge_Air_Flow_Setpoint,,
Point,Discharge_Air_Flow_Setpoint,Supply_Air_Flow_Setpoint,,
Point,Discharge_Air_Humidity_Sensor,Discharge_Air_Humidity_Sensor,,
Point,Discharge_Air_Humidity_Sensor,Supply_Air_Humidity_Sensor,,
Point,Discharge_Air_Humidity_Setpoint,Discharge_Air_Humidity_Setpoint,,
Point,Discharge_Air_Humidity_Setpoint,Supply_Air_Humidity_Setpoint,,
Point,Discharge_Air_Integral_Gain_Parameter,Discharge_Air_Integral_Gain_Parameter,,
Point,Discharge_Air_Integral_Gain_Parameter,Supply_Air_Integral_Gain_Parameter,,
Equipment,Discharge_Air_Plenum,Discharge_Air_Plenum,rename (see notes),
Equipment,Discharge_Air_Plenum,Supply_Air_Plenum,rename (see notes),
Point,Discharge_Air_Proportional_Gain_Parameter,Discharge_Air_Proportional_Gain_Parameter,,
Point,Discharge_Air_Proportional_Gain_Parameter,Supply_Air_Proportional_Gain_Parameter,,
